YEAR,TITLE,LECTURER,MAJOR,LOCATION,DESCRIPTION,START,END,TIME,APPOINTMENT,CREDIT,CONTACT
2025ss,Open Studio,"Prof. Céline Condorelli, Prof. Constanze Fischbeck, Vera Gärtner, Hanne König, Florian Malzacher, Philipp Schell",Exhibition Design and Scenography,R. 105 / Szenostudio,"Das Open Studio ist ein Austauschformat des Fachbereichs Ausstellungsdesign und Szenografie. Studierende haben die Gelegenheit, laufende oder bereits abgeschlossene Projekte vorzustellen und miteinander über diese in den Austausch zu kommen. Wenn Du Lust hast von einem Projekt zu erzählen, egal ob schon abgeschlossen oder noch im Arbeitsprozess, dann melde dich gerne bei uns!",13.05.2025,17.06.2025,18:00 - 20:00,"13.05., 17.06.",Kein Scheinerwerb möglich,"achrisofakis(at)hfg-karlsruhe.de, hschwabe(at)hfg-karlsruhe.de"
2025ss,Pre- / Diploma Colloquium,"Prof. Céline Condorelli, Prof. Constanze Fischbeck, Vera Gärtner, Hanne König, Florian Malzacher, Philipp Schell",Exhibition Design and Scenography,"R. 316, R. 317",Monatliche Gruppenbesprechung von Vordiplom- und Diplomprojekten in wechselnden Konstellationen. / Monthly group discussion of pre-diploma and diploma projects in changing constellations.,29.04.2025,08.07.2025,15:00 - 17:00 / 17:00 - 19:00,"Tuesdays – Diploma Colloquium: 06.05., 03.06., 08.07.; Pre-diploma Colloquium: 29.04., 27.05., 01.07.",Kein Scheinerwerb möglich,vvgaertner(at)hfg-karlsruhe.de
2025ss,Sprechstunden,Vera Gärtner,Exhibition Design and Scenography,R. 321,"Einzelsprechstunde zur Betreuung von freien Projekten, (Vor-)Diplomen, oder begleitend zu Seminaren. / Individual consultation hours for supervision of independent projects, (pre-)diplomas, or accompanying seminars.",28.04.2025,25.07.2025,14:00 - 17:00,"Wöchentlich, nach Vereinbarung",Kein Scheinerwerb möglich,vvgaertner(at)hfg-karlsruhe.de
2025ss,Talking with Céline,Prof. Céline Condorelli,Exhibition Design and Scenography,R. 317 or elsewhere if requested,"Individual consultation hours for talking and supervision of independent projects, prediplomas, diplomas or seminars. Please bring something to talk about and start from.",28.04.2025,25.07.2025,By prior arrangement,By prior arrangement,Kein Scheinerwerb möglich,ccondorelli(at)hfg-karlsruhe.de
2025ss,"Sprechstunden, Philipp Schell",Philipp Schell,Exhibition Design and Scenography,R. 321,"Einzelsprechstunde zur Betreuung von freien Projekten, Vordiplomen oder begleitend zu Seminaren. Auch längere Sitzungen zur Vertiefung von CAD Kenntnissen möglich. Individual consultation hours for supervision of independent projects, prediplomas or accompanying seminars. Longer sessions to deepen CAD knowledge are also possible.",01.05.2025,24.07.2025,14:00 - 17:00,Donnerstags,Kein Scheinerwerb möglich,pschell(at)hfg-karlsruhe.de
2025ss,Sprechstunden,Prof. Constanze Fischbeck,Exhibition Design and Scenography,R. 316 oder online,"Einzelsprechstunde zur Betreuung von freien Projekten, (Vor-)Diplomen, oder begleitend zu Seminaren. / Individual consultation hours for supervision of independent projects, (pre-)diplomas, or accompanying seminars.",28.04.2025,25.07.2025,Nach Vereinbarung,Nach Vereinbarung,Kein Scheinerwerb möglich,cfischbeck(at)hfg-karlsruhe.de
2025ss,Einzelsprechstunde,Florian Malzacher,Exhibition Design and Scenography,Online oder in der HfG,"Besprechung von und Feedback zu Projekten, Hausarbeiten etc. Feedback on projects, home works etc.",28.04.2025,25.07.2025,Nach Vereinbarung,Nach Vereinbarung,Kein Scheinerwerb möglich,fmalzacher(at)hfg-karlsruhe.de
2025ss,Poröser Kanon II: Weitere Zeitgenössische Theaterpositionen,Florian Malzacher,Exhibition Design and Scenography,tba,"Das Seminar „Poröser Kanon“ ist eine Einführung ins internationale, experimentelle Theater: Sehr unterschiedliche künstlerische Handschriften und Praktiken werden anhand von Videomaterial, Texten und Aufführungsbesuchen konkret betrachtet, um ein Gefühl für die Bandbreite zeitgenössischer performativer Künste zu bekommen. Das Konzept eines Kanons ist natürlich Unsinn – zu fluid sind Zeit und Diskurse, zu sehr noch immer westlich-weiß-männlich geprägt, zu sehr auf Werke und Einzelkünstler:innen fixiert. Dennoch spielt dieses Seminar mit der Idee eines gemeinsam entworfenen, sich immer wieder ändernden, nicht endenden best of spielen und dabei versuchen herkömmliche Listen durch unterrepräsentierte Positionen zu ergänzen. Neben gemeinsamer Recherche anhand von Videos, Texten etc. werden regelmäßig prägende Künstler:innen per Zoom ins Seminar zugeschaltet, um unmittelbar von ihrer Arbeit zu berichten und sich unseren Fragen zu stellen. Teil des Seminars ist eine Exkursion nach Brüssel, zum Kunstenfestival, einem der weltweit bedeutendsten Festivals für zeitgenössische performative Künste. Dieses Seminar eignet sich sowohl für Studierende, die am ersten “Kanon”-Seminar teilgenommen haben wie für Neueinsteiger:innen.",28.04.2025,21.07.2025,15:00 - 19:00,"28.04., 12.05., 26.05., 16.06. (via Zoom - Achtung, außer der Reihe), 23.06., 07.07., 21.07.",Leistungsschein Basis-Lehrveranstaltung; Leistungsschein Fachtheorie Szenografie,malzacher(at)hfg-karlsruhe.de
2025ss,„Let’s say it’s an island“ II,"Philipp Schell, Barbara Kuon",Exhibition Design and Scenography,R. 102 / R. 112,"ADSZ Modellbau Seminar Das Seminar ist die Fortsetzung des Grundlagenkurses „Let’s say it’s an island“ I im Wintersemester 24/25. Im vergangenen Semester lag der Fokus auf abstrakten Modellen ausgehend von konzeptionellen Überlegungen und Recherchen. Die Wechselwirkung zwischen digitalen und analogen Möglichkeiten des Entwerfens und Modellierens sowie dessen Umsetzbarkeit soll nun in einem konkreten Innenraummodell angewandt werden. Ausgangspunkt ist dabei der große Seminarraum 112, der mit Hilfe von Modellen neu gedacht werden soll. Zu Beginn vermessen und analysieren wir dabei die Gegebenheiten, Qualitäten, Mängel und Potentiale des bestehenden Raumes und entwerfen modellhaft im Verlauf des Semesters utopische und fiktive Szenarien, wie der Raum 112 neu gedacht werden kann. Das Medium Modell bietet dabei sowohl die Möglichkeit, eine radikale Umwandlung zu simulieren, gleichzeitig soll es in der Maßstäblichkeit einen Grad an Präzision vorgeben, der in Materialität und Details dem realen Raum nahekommt. The seminar is the continuation of the basic course “Let's say it's an island” in the winter semester 24/25. Last semester, the focus was on abstract models based on conceptual considerations and research. The interaction between digital and analog possibilities of designing and modeling as well as its feasibility will now be applied to a concrete interior model. The starting point is the large seminar room 112, which is to be rethought with the help of models. To begin with, we will measure and analyze the conditions, qualities, deficiencies and potentials of the existing space and, in the course of the semester, design utopian and fictitious scenarios of how room 112 can be rethought. The medium of the model offers the possibility of simulating a radical transformation, while at the same time providing a degree of precision in terms of scale that comes close to the real space in terms of materiality and detail.",08.05.2025,17.07.2025,10:00 - 12:30,Donnerstags,Leistungsschein Ausstellungsdesign; Leistungsschein Szenografie,pschell(at)hfg-karlsruhe.de
2025ss,Connecting the Dots: Exhibiting HfG's Project Archive,"Zulfikar Filandra (ORC), Philipp Schell (ADSZ)",Exhibition Design and Scenography,R. 102,The workshop proposes to explore the works and projects of HfG alumni students and brainstorm an exhibition together. We will browse HfG's project archive database (madek.hfg-karlsruhe.de) and look at alumni students' works through the lens of exhibition making. The workshop addresses students who bring a curiosity for curating exhibitions and working with archives. We will use ORC's modular display interface Portal designed by HfG alumnus Moritz Appich for building the exhibition.,16.06.2025,20.06.2025,12:00 - 15:00,"16.06., 20.06.",Workshop-Nachweis Ausstellungsdesign,zfilandra(at)hfg-karlsruhe.de
